Shelter,Plot,Subplot,Subplot ID,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
1,7,B,S1P7,BIS,6.1,10.4,6.7,5.8,9.2,
1,8,B,S1P8,BIS,7.6,6.1,4.2,5.1,8.9,
2,1,D,S2P1,BIS,5.8,6.2,6.6,9.3,10.2,
2,2,D,S2P2,BIS,8.4,7.1,6.9,7.9,7.7,
3,7,B,S3P7,BIS,8.9,7.6,8.9,3.7,5.4,
3,8,C,S3P8,BIS,6.8,9.2,5.3,5.3,6.9,
4,7,B,S4P7,BIS,7.7,7.3,6.4,6.8,9.5,
4,8,D,S4P8,BIS,7.2,6.7,5.2,3.9,6.1,
5,1,C,S5P1,BIS,7.4,8.5,7.6,5.9,8.1,
5,2,A,S5P2,BIS,6.9,5.5,6.6,7.1,6.5,
6,7,D,S6P7,BIS,7.7,6.4,7.9,7,5.1,
6,8,C,S6P8,BIS,5.9,5.8,5.2,2.5,6.7,
1,7,A,S1P7,D/BIS,9.9,8.3,10.8,8.4,9,
1,8,C,S1P8,D/BIS,7,5.5,6.5,7.5,10.2,
2,1,B,S2P1,D/BIS,10.9,10.4,10.6,6.6,8.7,
2,2,C,S2P2,D/BIS,9.3,9.4,10.9,11.9,10.8,
3,7,C,S3P7,D/BIS,9.1,8.2,11.6,7.6,6.1,
3,8,A,S3P8,D/BIS,9.3,4.4,7.3,7.5,7.9,
4,7,C,S4P7,D/BIS,7.2,7.2,8.1,7.3,10.8,
4,8,A,S4P8,D/BIS,8.3,6.3,7.5,3.7,6.1,
5,1,D,S5P1,D/BIS,10.5,7.3,7.6,5.6,9.2,
5,2,C,S5P2,D/BIS,8.4,6.5,6.1,7.5,6.9,
6,7,C,S6P7,D/BIS,9.1,5.6,6.3,6.6,8.1,
6,8,A,S6P8,D/BIS,7.8,4,6.9,8.2,7.8,
1,7,D,S1P7,DIG,10.3,3,10.9,12.5,12.8,
1,8,A,S1P8,DIG,11.3,11.3,11.3,4.2,11.4,
2,1,A,S2P1,DIG,7.4,5.8,11.5,6.7,11.8,10:40
2,2,B,S2P2,DIG,7.9,9.4,10.3,8.3,11.3,
3,7,D,S3P7,DIG,5.2,4.9,10.3,7.6,10.2,
3,8,D,S3P8,DIG,6.2,7.6,10.1,11.7,10.6,
4,7,A,S4P7,DIG,6.1,5.3,5.5,6.4,6.5,
4,8,C,S4P8,DIG,7.5,5.3,5.3,5.1,5.9,
5,1,B,S5P1,DIG,6.9,11.2,9.3,5.3,4.9,
5,2,B,S5P2,DIG,8.8,6.1,7.5,5.8,5.5,
6,7,B,S6P7,DIG,7.1,6.3,8.1,7.9,4.6,
6,8,B,S6P8,DIG,7.2,4.9,7.4,6,7.9,
1,3,C,S1P3,FES,8.3,6.5,8.1,7.4,9.4,
1,4,A,S1P4,FES,6.5,4.5,5.5,5.9,6.1,
1,5,C,S1P5,FES,5.8,3.6,5.7,5.4,7.8,
1,6,B,S1P6,FES,4.2,3.9,4.6,4.7,7.5,
2,3,C,S2P3,FES,5.4,7.6,6.8,4.5,5.7,
2,4,C,S2P4,FES,9.2,4.3,5.2,6.1,7.1,
2,5,B,S2P5,FES,4.9,5.5,4.3,3.4,8.6,
2,6,D,S2P6,FES,4.7,5.3,4.2,4.3,4.4,
3,3,D,S3P3,FES,6.8,4.9,6.2,5.3,6,
3,4,B,S3P4,FES,6.5,46,4.2,5.9,4.8,
3,5,D,S3P5,FES,5.4,5.2,5.3,5.4,4.5,
3,6,B,S3P6,FES,6.3,5.5,5.8,5.5,9.4,
4,3,B,S4P3,FES,5.2,5.1,4.2,4.5,6.3,
4,4,C,S4P4,FES,6.9,5.5,6.3,6.5,4.5,
4,5,A,S4P5,FES,7.4,5.3,6.1,6.7,7.5,
4,6,A,S4P6,FES,5.6,4.8,5,4,5.6,
5,3,A,S5P3,FES,3.2,3.7,5.7,4.9,4.8,
5,4,A,S5P4,FES,6.5,6.9,4.5,6.2,4.7,
5,5,D,S5P5,FES,6.5,3.3,2.5,3.1,5.3,
5,6,C,S5P6,FES,5.6,5.6,6.6,4.2,3.7,
6,3,D,S6P3,FES,5.3,5.7,5.6,7.9,7.9,
6,4,C,S6P4,FES,6.4,5.6,6.2,4.9,8.3,
6,5,D,S6P5,FES,6.8,4.6,3.7,6.6,6.9,
6,6,B,S6P6,FES,5.3,4.4,5.3,4,5.4,
1,3,B,S1P3,K/W,11.3,13.9,13.4,13.4,14.7,
1,4,D,S1P4,K/W,10.8,10.6,12.1,8.9,10.6,
1,5,A,S1P5,K/W,15.9,8.4,11.8,13.5,11.8,
1,6,C,S1P6,K/W,10.4,10.8,8.9,10.2,14.4,
2,3,D,S2P3,K/W,11.6,10.5,9.8,9.5,8.6,
2,4,D,S2P4,K/W,11.2,7.6,9.2,12.8,15.3,
2,5,D,S2P5,K/W,10.9,10,11.5,12.3,12.1,
2,6,B,S2P6,K/W,11.5,10.1,8.8,7.3,9.8,
3,3,C,S3P3,K/W,12.4,11.1,13.6,7.8,11.9,
3,4,A,S3P4,K/W,7.6,9.9,8.9,11.9,13.3,
3,5,B,S3P5,K/W,11.3,12.3,8.4,9.1,8.1,
3,6,D,S3P6,K/W,12.6,10,10.9,11.7,12.4,
4,3,A,S4P3,K/W,12,9.2,8.2,11.4,10.2,
4,4,B,S4P4,K/W,10.6,10.3,10.5,10.1,11.2,
4,5,D,S4P5,K/W,14.9,9.4,12.7,10.8,11.1,
4,6,B,S4P6,K/W,8.9,8.5,11.6,11.6,8.8,
5,3,B,S5P3,K/W,11.7,9.9,7.6,7.7,7.2,
5,4,C,S5P4,K/W,13.7,10.6,11.8,8.8,12.4,
5,5,A,S5P5,K/W,10.8,6.5,12.2,7.9,6.7,
5,6,B,S5P6,K/W,13.2,12.5,12.2,11.7,10.2,
6,3,A,S6P3,K/W,10.8,10,14.2,9.6,10,
6,4,B,S6P4,K/W,11.6,13.8,8.6,11.2,5.9,
6,5,C,S6P5,K/W,9.2,8.6,10.4,10.1,11.5,
6,6,A,S6P6,K/W,12.3,13.8,13.4,8.7,11,
1,1,C,S1P1,KAN,13.6,14.2,12.6,NA,14.1,
1,2,D,S1P2,KAN,14.4,13.8,9,12.9,11.4,
2,7,C,S2P7,KAN,8.8,12.9,9.2,8.9,14.1,
2,8,D,S2P8,KAN,9.4,8.6,7.6,11.9,10.3,
3,1,D,S3P1,KAN,10.7,10.2,8.5,7.1,9.4,
3,2,A,S3P2,KAN,10.8,8.7,7.3,13.5,10.7,
4,1,D,S4P1,KAN,10.2,11.1,15.1,12.2,14.2,
4,2,C,S4P2,KAN,10.7,10.5,9.7,9.7,12.2,
5,7,C,S5P7,KAN,8.6,6.5,9.3,9.5,6.9,
5,8,D,S5P8,KAN,11.3,9.3,10.5,8.3,8.1,
6,1,B,S6P1,KAN,10,11.3,12.3,9.9,11.8,
6,2,A,S6P2,KAN,12.9,8.1,9.1,10.5,14.3,
1,3,D,S1P3,LUC,6.4,6.7,6.2,7,8.6,
1,4,C,S1P4,LUC,5.6,3.3,4.1,6.2,7.6,
1,5,B,S1P5,LUC,3.6,2.9,2.3,8.2,9.3,
1,6,A,S1P6,LUC,3.9,4.1,3.9,3.7,9.9,
2,3,B,S2P3,LUC,6.5,4.3,3.6,6.3,4.8,
2,4,A,S2P4,LUC,5.9,3.3,4.1,6.7,3.3,
2,5,C,S2P5,LUC,10.4,8.2,7.9,8.6,9.5,
2,6,A,S2P6,LUC,5.6,7.9,3.8,6.3,6.8,
3,3,B,S3P3,LUC,5.1,3.6,4.2,5.6,3.1,
3,4,C,S3P4,LUC,5.2,2.7,6.2,5.9,9.6,
3,5,C,S3P5,LUC,6.3,9.3,6.1,6.3,8.3,
3,6,C,S3P6,LUC,6.4,6,9.2,6.6,7.3,
4,3,D,S4P3,LUC,6.1,6,4.6,4.4,7.2,
4,4,D,S4P4,LUC,4.9,4.8,5.8,6,9.3,
4,5,C,S4P5,LUC,4.3,4.4,4,6.8,7.1,
4,6,D,S4P6,LUC,3.3,4.4,5.8,7.1,8.5,
5,3,C,S5P3,LUC,3.3,3.9,4.6,4.9,8.3,
5,4,D,S5P4,LUC,3.9,6.9,5.3,5.3,7.8,
5,5,B,S5P5,LUC,5.4,6.8,3.6,2.3,4.4,
5,6,A,S5P6,LUC,4.5,4.8,4.7,3.8,6.1,
6,3,B,S6P3,LUC,6,5.6,5.1,3.6,3.5,
6,4,D,S6P4,LUC,8.2,10,8.5,9.5,12.8,
6,5,A,S6P5,LUC,3.7,5.1,4.1,5.8,3.6,
6,6,D,S6P6,LUC,5.3,8.5,4.9,6.4,8.5,
1,3,A,S1P3,P/SUB,9.7,6.4,8.1,7.6,11.2,
1,4,B,S1P4,P/SUB,7.8,4.2,5.3,5.5,10.4,
1,5,D,S1P5,P/SUB,9.9,5.2,7.6,5.6,9.6,
1,6,D,S1P6,P/SUB,5,3.5,4.7,6.9,7.1,
2,3,A,S2P3,P/SUB,9.2,4.7,6.9,9.2,2.9,
2,4,B,S2P4,P/SUB,7.9,6.1,6.4,6.7,8,
2,5,A,S2P5,P/SUB,8.2,7.4,8.2,8.5,12.5,
2,6,C,S2P6,P/SUB,5.3,6.2,7.1,5.4,5.7,
3,3,A,S3P3,P/SUB,8.7,5.4,7.5,5.4,2.8,
3,4,D,S3P4,P/SUB,6.4,6.7,6,4.2,5.9,
3,5,A,S3P5,P/SUB,8,6.1,6.2,6.4,4.7,
3,6,A,S3P6,P/SUB,6.3,8.2,5.9,5.1,4.9,
4,3,C,S4P3,P/SUB,6.9,5.3,5.6,5.5,8.3,
4,4,A,S4P4,P/SUB,7.9,7.6,6.6,6.9,7.1,
4,5,B,S4P5,P/SUB,8.2,6.7,6.6,5.9,5.3,
4,6,C,S4P6,P/SUB,7.6,6.8,6.2,5.7,7.2,
5,3,D,S5P3,P/SUB,5.7,5.2,7.5,5.1,6.5,
5,4,B,S5P4,P/SUB,7.7,6.4,8.1,6.6,7.1,
5,5,C,S5P5,P/SUB,8.5,7.6,7.7,10.2,7.9,
5,6,D,S5P6,P/SUB,6.1,7,6.5,5.6,6.8,
6,3,C,S6P3,P/SUB,7.4,3.9,4.6,6.2,11.4,
6,4,A,S6P4,P/SUB,5.9,9.1,6.9,6.9,9.8,
6,5,B,S6P5,P/SUB,10.4,7.6,8.3,4.5,5.9,
6,6,C,S6P6,P/SUB,6.3,8.7,6.5,5.1,10.2,
1,1,D,S1P1,PHA,19.3,18.3,15.4,15.2,15.9,
1,2,A,S1P2,PHA,18.2,13.7,12.9,12.5,16.8,
2,7,A,S2P7,PHA,15.1,12.4,11.9,13.7,16.9,
2,8,B,S2P8,PHA,13.4,12.6,13.2,13,13.8,
3,1,C,S3P1,PHA,15,8.1,12.8,11.3,16.8,
3,2,C,S3P2,PHA,13.8,12.1,13.8,13.2,16.9,
4,1,A,S4P1,PHA,12.5,12.2,13.4,13.3,10.8,12:00
4,2,A,S4P2,PHA,12.1,11.5,15.1,12.2,14.2,
5,7,B,S5P7,PHA,13.5,9.7,14.1,13.8,17.8,
5,8,C,S5P8,PHA,13.6,13.1,12.1,10.5,13.8,
6,1,A,S6P1,PHA,14.5,17.8,13.5,15.2,20,13:55
6,2,C,S6P2,PHA,11.1,9.8,13.4,16.1,17.9,
1,7,C,S1P7,RHO,7.1,7.6,7.7,7.1,7.2,
1,8,D,S1P8,RHO,5.5,4.5,6.4,5.9,8.9,
2,1,C,S2P1,RHO,6.5,7.6,4.9,7.5,13.8,
2,2,A,S2P2,RHO,9.3,8.3,8.2,8.3,4.8,
3,7,A,S3P7,RHO,6.6,4.6,4.9,5.8,5.6,
3,8,B,S3P8,RHO,8.3,6.2,7.6,5.3,4.3,
4,7,D,S4P7,RHO,5.5,3.9,6.1,4.4,7.7,
4,8,B,S4P8,RHO,6.8,6.6,6.1,2.7,3.8,
5,1,A,S5P1,RHO,7.6,4.9,3.6,3.5,2.8,13:20
5,2,D,S5P2,RHO,6.6,3.9,6.9,5.9,4,
6,7,A,S6P7,RHO,6.8,8.6,8.9,2.5,5.1,
6,8,D,S6P8,RHO,5.9,4.5,8.6,7,6.9,
1,1,A,S1P1,RYE,10.6,8.2,9.3,11.4,13,10:10
1,2,B,S1P2,RYE,11.7,9.5,11.1,11.4,10.4,
2,7,D,S2P7,RYE,6.5,7.8,8.7,8.6,11.5,
2,8,A,S2P8,RYE,8.9,8.4,8.8,9,9.3,
3,1,A,S3P1,RYE,10.5,11.6,12.9,11.2,7.9,11:25
3,2,B,S3P2,RYE,11.1,11.6,9.8,9.2,8.8,
4,1,B,S4P1,RYE,9.8,9.5,8.3,8.1,11.3,
4,2,B,S4P2,RYE,8.4,8.5,7.9,9.4,8.3,
5,7,A,S5P7,RYE,11.4,11.2,11.1,9.6,7.8,
5,8,A,S5P8,RYE,11.4,9.7,9.6,9.2,10.5,
6,1,C,S6P1,RYE,10.8,11,12.8,14.8,15.3,
6,2,B,S6P2,RYE,12.3,10.6,11.2,10.5,9.9,
1,1,B,S1P1,WAL,14.8,14.3,14.9,13.9,12.9,
1,2,C,S1P2,WAL,16.1,13.2,13.6,12.9,11.4,
2,7,B,S2P7,WAL,11.3,9.8,10.7,12.7,10.6,
2,8,C,S2P8,WAL,9.9,11.9,10.6,13,12.1,
3,1,B,S3P1,WAL,13.4,9.5,13.3,9.8,12.9,
3,2,D,S3P2,WAL,11.1,11.2,10.9,9.9,9.9,
4,1,C,S4P1,WAL,11.1,11.6,10.5,8.8,14.3,
4,2,D,S4P2,WAL,14,9.6,12.9,11.5,12.8,
5,7,D,S5P7,WAL,9.9,9.9,10,9.2,10.5,
5,8,B,S5P8,WAL,10.1,9.8,11.1,11.4,12.8,
6,1,D,S6P1,WAL,17.9,16.2,13.5,15.1,16.4,
6,2,D,S6P2,WAL,18.8,12.8,14.9,13.8,16.9,
