DateTime,Subplot ID,Sp.Abv.,Moisture ( % ),Period ( us ),Attenuation,Permittivity,Probe Model
1/11/2018 0:00,S1P1A,Rye,0,0.998,1.0009,1,CD659 12cm rods
1/11/2018 0:00,S1P1A,Rye,0,1.0546,1.0057,1.6513,CD659 12cm rods
1/11/2018 0:00,S1P1A,Rye,0,0.9901,1.0006,1,CD659 12cm rods
1/11/2018 0:00,S1P1A,Rye,0.07,1.0738,1.015,1.9074,CD659 12cm rods
1/11/2018 0:00,S1P1A,Rye,0,1.0704,1.0078,1.8822,CD659 12cm rods
1/11/2018 0:00,S1P1B,Wal,0,1.0037,1.0004,1,CD659 12cm rods
1/11/2018 0:01,S1P1B,Wal,0,1.0037,1.0003,1.0003,CD659 12cm rods
1/11/2018 0:01,S1P1B,Wal,0,1.0037,1,1.0018,CD659 12cm rods
1/11/2018 0:01,S1P1B,Wal,0,1.0037,1.0002,1.001,CD659 12cm rods
1/11/2018 0:01,S1P1B,Wal,0,1.0037,0.9999,1.0023,CD659 12cm rods
1/11/2018 0:01,S1P1C,Kan,0,1.0602,1.008,1.726,CD659 12cm rods
1/11/2018 0:01,S1P1C,Kan,0,1.0602,1.0081,1.7254,CD659 12cm rods
1/11/2018 0:01,S1P1C,Kan,0,1.0602,1.008,1.726,CD659 12cm rods
1/11/2018 0:02,S1P1C,Kan,0,1.0602,1.008,1.726,CD659 12cm rods
1/11/2018 0:02,S1P1C,Kan,0,1.0591,1.008,1.7089,CD659 12cm rods
1/11/2018 0:02,S1P1D,Pha,2.98,1.1371,1.0198,3.0029,CD659 12cm rods
1/11/2018 0:02,S1P1D,Pha,1.45,1.1043,1.0143,2.4182,CD659 12cm rods
1/11/2018 0:02,S1P1D,Pha,4.44,1.1676,1.0366,3.5675,CD659 12cm rods
1/11/2018 0:02,S1P1D,Pha,1.67,1.1088,1.0128,2.5031,CD659 12cm rods
1/11/2018 0:03,S1P1D,Pha,0.01,1.0704,1.0071,1.885,CD659 12cm rods
1/11/2018 0:03,S1P2A,Pha,6.85,1.2117,1.0434,4.536,CD659 12cm rods
1/11/2018 0:03,S1P2A,Pha,5.19,1.1834,1.0522,3.8638,CD659 12cm rods
1/11/2018 0:03,S1P2A,Pha,5.11,1.18,1.0369,3.8341,CD659 12cm rods
1/11/2018 0:03,S1P2A,Pha,5.25,1.1823,1.0355,3.8876,CD659 12cm rods
1/11/2018 0:04,S1P2A,Pha,4.54,1.1687,1.0311,3.6083,CD659 12cm rods
1/11/2018 0:04,S1P2B,Rye,0.12,1.0738,1.0106,1.9245,CD659 12cm rods
1/11/2018 0:04,S1P2B,Rye,0,1.0636,1.0088,1.7741,CD659 12cm rods
1/11/2018 0:04,S1P2B,Rye,0.9699999,1.0941,1.0149,2.2411,CD659 12cm rods
1/11/2018 0:04,S1P2B,Rye,0,1.0353,1.0055,1.3801,CD659 12cm rods
1/11/2018 0:04,S1P2B,Rye,2.5,1.128,1.0232,2.8187,CD659 12cm rods
1/11/2018 0:05,S1P2C,Wal,8.32,1.2365,1.0431,5.1414,CD659 12cm rods
1/11/2018 0:05,S1P2C,Wal,1.81,1.1167,1.0387,2.5542,CD659 12cm rods
1/11/2018 0:05,S1P2C,Wal,0.89,1.0941,1.0227,2.2121,CD659 12cm rods
1/11/2018 0:05,S1P2C,Wal,0,1.041,1.0067,1.453,CD659 12cm rods
1/11/2018 0:06,S1P2C,Wal,6.539999,1.2094,1.0707,4.408,CD659 12cm rods
1/11/2018 0:06,S1P2D,Kan,7.18,1.2173,1.0431,4.6711,CD659 12cm rods
1/11/2018 0:06,S1P2D,Kan,4.25,1.1631,1.0296,3.494,CD659 12cm rods
1/11/2018 0:06,S1P2D,Kan,7.69,1.2252,1.0357,4.8809,CD659 12cm rods
1/11/2018 0:07,S1P2D,Kan,0,1.0591,1.0063,1.7159,CD659 12cm rods
1/11/2018 0:07,S1P2D,Kan,1.73,1.1099,1.0123,2.5249,CD659 12cm rods
1/11/2018 0:07,S1P3A,PhaSub,1.51,1.1077,1.0242,2.4423,CD659 12cm rods
1/11/2018 0:07,S1P3A,PhaSub,1.92,1.1178,1.0327,2.596,CD659 12cm rods
1/11/2018 0:08,S1P3A,PhaSub,2.09,1.1212,1.0316,2.6627,CD659 12cm rods
1/11/2018 0:08,S1P3A,PhaSub,0,1.0161,1.0038,1.1363,CD659 12cm rods
1/11/2018 0:08,S1P3A,PhaSub,0.89,1.0941,1.0227,2.2121,CD659 12cm rods
1/11/2018 0:08,S1P3B,KanWal,0.56,1.0839,1.0105,2.0881,CD659 12cm rods
1/11/2018 0:08,S1P3B,KanWal,0.51,1.0828,1.0105,2.0696,CD659 12cm rods
1/11/2018 0:09,S1P3B,KanWal,0,1.0455,1.0039,1.5282,CD659 12cm rods
1/11/2018 0:09,S1P3B,KanWal,0,1.015,1.0025,1.1279,CD659 12cm rods
1/11/2018 0:10,S1P3B,KanWal,0,1.05,1.0035,1.5944,CD659 12cm rods
1/11/2018 0:10,S1P3C,Fes,0.53,1.0851,1.0188,2.0753,CD659 12cm rods
1/11/2018 0:10,S1P3C,Fes,0,1.0591,1.0085,1.7071,CD659 12cm rods
1/11/2018 0:10,S1P3C,Fes,0,1.0037,1,1.0018,CD659 12cm rods
1/11/2018 0:11,S1P3C,Fes,0,1.0659,1.0067,1.8166,CD659 12cm rods
1/11/2018 0:11,S1P3C,Fes,0,1.0636,1.0041,1.7924,CD659 12cm rods
1/11/2018 0:11,S1P3D,Luc,0.5699999,1.0862,1.0199,2.0896,CD659 12cm rods
1/11/2018 0:11,S1P3D,Luc,0,1.0071,1.0057,1.0166,CD659 12cm rods
1/11/2018 0:11,S1P3D,Luc,0,0.9969,1,1,CD659 12cm rods
1/11/2018 0:12,S1P3D,Luc,0,1.0014,0.9999,1,CD659 12cm rods
1/11/2018 0:12,S1P3D,Luc,0,1.0286,1.0032,1.2992,CD659 12cm rods
1/11/2018 0:13,S1P4A,Fes,2.94,1.1405,1.0451,2.9849,CD659 12cm rods
1/11/2018 0:13,S1P4A,Fes,1.05,1.0952,1.0119,2.2712,CD659 12cm rods
1/11/2018 0:13,S1P4A,Fes,0.62,1.0851,1.0093,2.111,CD659 12cm rods
1/11/2018 0:13,S1P4A,Fes,1.4,1.1032,1.0133,2.4022,CD659 12cm rods
1/11/2018 0:13,S1P4A,Fes,0,1.0613,1.003,1.7629,CD659 12cm rods
1/11/2018 0:13,S1P4B,PhaSub,3.63,1.1518,1.0321,3.2539,CD659 12cm rods
1/11/2018 0:14,S1P4B,PhaSub,1.8,1.1145,1.0274,2.5528,CD659 12cm rods
1/11/2018 0:14,S1P4B,PhaSub,0.75,1.0896,1.0163,2.1597,CD659 12cm rods
1/11/2018 0:14,S1P4B,PhaSub,0.76,1.0885,1.0105,2.1627,CD659 12cm rods
1/11/2018 0:14,S1P4B,PhaSub,0,1.0252,1.0031,1.2549,CD659 12cm rods
1/11/2018 0:14,S1P4C,Luc,0,0.9855999,1.0007,1,CD659 12cm rods
1/11/2018 0:14,S1P4C,Luc,0,0.9845,1.0003,1,CD659 12cm rods
1/11/2018 0:14,S1P4C,Luc,0,0.9845,1.0005,1,CD659 12cm rods
1/11/2018 0:14,S1P4C,Luc,0,0.9845,1.0004,1,CD659 12cm rods
1/11/2018 0:15,S1P4C,Luc,0,0.9845,1.0007,1,CD659 12cm rods
1/11/2018 0:15,S1P4D,KanWal,4.4,1.1676,1.041,3.5541,CD659 12cm rods
1/11/2018 0:15,S1P4D,KanWal,3.19,1.1416,1.0227,3.0812,CD659 12cm rods
1/11/2018 0:15,S1P4D,KanWal,5.38,1.1936,1.1033,3.9399,CD659 12cm rods
1/11/2018 0:16,S1P4D,KanWal,3.06,1.1382,1.0176,3.0317,CD659 12cm rods
1/11/2018 0:16,S1P4D,KanWal,3.96,1.1585,1.0358,3.3808,CD659 12cm rods
,S1P5A,KanWal,<3,,,,
,S1P5A,KanWal,<3,,,,
,S1P5A,KanWal,<3,,,,
,S1P5A,KanWal,<3,,,,
,S1P5A,KanWal,<3,,,,
,S1P5B,Luc,<3,,,,
,S1P5B,Luc,<3,,,,
,S1P5B,Luc,<3,,,,
,S1P5B,Luc,<3,,,,
,S1P5B,Luc,<3,,,,
,S1P5C,Fes,<3,,,,
,S1P5C,Fes,<3,,,,
,S1P5C,Fes,<3,,,,
,S1P5C,Fes,<3,,,,
,S1P5C,Fes,<3,,,,
,S1P5D,PhaSub,<3,,,,
,S1P5D,PhaSub,<3,,,,
,S1P5D,PhaSub,<3,,,,
,S1P5D,PhaSub,<3,,,,
,S1P5D,PhaSub,<3,,,,
1/11/2018 0:17,S1P6A,Luc,1.44,1.1043,1.0148,2.4164,CD659 12cm rods
1/11/2018 0:17,S1P6A,Luc,0,1.0557,1.0065,1.6647,CD659 12cm rods
1/11/2018 0:17,S1P6A,Luc,1.94,1.1145,1.0122,2.6061,CD659 12cm rods
1/11/2018 0:17,S1P6A,Luc,3.61,1.1495,1.0207,3.2444,CD659 12cm rods
1/11/2018 0:18,S1P6A,Luc,0,0.998,1.0015,1,CD659 12cm rods
1/11/2018 0:18,S1P6B,Fes,0,1.0692,1.0061,1.8712,CD659 12cm rods
1/11/2018 0:18,S1P6B,Fes,0.47,1.0839,1.0198,2.053,CD659 12cm rods
1/11/2018 0:18,S1P6B,Fes,0.21,1.076,1.0109,1.9592,CD659 12cm rods
1/11/2018 0:18,S1P6B,Fes,0,1.0568,1.0037,1.6925,CD659 12cm rods
1/11/2018 0:18,S1P6B,Fes,0,1.0557,1.0056,1.6683,CD659 12cm rods
1/11/2018 0:19,S1P6C,KanWal,6.26,1.2015,1.0449,4.2941,CD659 12cm rods
1/11/2018 0:19,S1P6C,KanWal,2.25,1.1224,1.0201,2.7235,CD659 12cm rods
1/11/2018 0:19,S1P6C,KanWal,6.75,1.2105,1.0488,4.495,CD659 12cm rods
1/11/2018 0:19,S1P6C,KanWal,1.47,1.1043,1.0113,2.429,CD659 12cm rods
1/11/2018 0:19,S1P6C,KanWal,6.2,1.2004,1.0439,4.2709,CD659 12cm rods
1/11/2018 0:20,S1P6D,PhaSub,3.22,1.1427,1.026,3.0928,CD659 12cm rods
1/11/2018 0:20,S1P6D,PhaSub,3.67,1.1518,1.0276,3.268,CD659 12cm rods
1/11/2018 0:20,S1P6D,PhaSub,3.45,1.1472,1.0265,3.1808,CD659 12cm rods
1/11/2018 0:20,S1P6D,PhaSub,2.04,1.1201,1.0311,2.6436,CD659 12cm rods
1/11/2018 0:20,S1P6D,PhaSub,2.05,1.1178,1.0179,2.6479,CD659 12cm rods
1/11/2018 0:21,S1P7A,DigBis,0,1.0613,1.0075,1.7448,CD659 12cm rods
1/11/2018 0:21,S1P7A,DigBis,0,1.0082,1.0011,1.0508,CD659 12cm rods
1/11/2018 0:21,S1P7A,DigBis,0,1.0071,1.0011,1.0374,CD659 12cm rods
1/11/2018 0:21,S1P7A,DigBis,0,1.0082,1.0012,1.0506,CD659 12cm rods
1/11/2018 0:21,S1P7A,DigBis,0,1.0082,1.0012,1.0503,CD659 12cm rods
1/11/2018 0:21,S1P7B,Bis,0,1.0659,1.0075,1.8135,CD659 12cm rods
1/11/2018 0:21,S1P7B,Bis,0,0.9946,1.0008,1,CD659 12cm rods
1/11/2018 0:22,S1P7B,Bis,0,0.9946,1.0008,1,CD659 12cm rods
1/11/2018 0:22,S1P7B,Bis,0,0.9946,1.0011,1,CD659 12cm rods
1/11/2018 0:22,S1P7B,Bis,0,0.9946,1.0006,1,CD659 12cm rods
1/11/2018 0:22,S1P7C,Rho,0,1.0466,1.0051,1.5394,CD659 12cm rods
1/11/2018 0:22,S1P7C,Rho,0,1.05,1.0064,1.5825,CD659 12cm rods
1/11/2018 0:22,S1P7C,Rho,0,1.05,1.006,1.5843,CD659 12cm rods
1/11/2018 0:22,S1P7C,Rho,0,1.05,1.0057,1.5857,CD659 12cm rods
1/11/2018 0:22,S1P7C,Rho,0,1.05,1.0058,1.585,CD659 12cm rods
1/11/2018 0:23,S1P7D,Dig,1.2,1.0975,1.0068,2.328,CD659 12cm rods
1/11/2018 0:23,S1P7D,Dig,0,1.0591,1.0028,1.7296,CD659 12cm rods
1/11/2018 0:23,S1P7D,Dig,0,1.0591,1.0028,1.7296,CD659 12cm rods
1/11/2018 0:23,S1P7D,Dig,0,1.0591,1.0031,1.7285,CD659 12cm rods
1/11/2018 0:23,S1P7D,Dig,0,1.0591,1.003,1.7289,CD659 12cm rods
1/11/2018 0:23,S1P8A,Dig,1.76,1.1111,1.0145,2.5374,CD659 12cm rods
1/11/2018 0:23,S1P8A,Dig,0,1.0455,1.0059,1.5199,CD659 12cm rods
1/11/2018 0:24,S1P8A,Dig,4.32,1.1631,1.0207,3.521,CD659 12cm rods
1/11/2018 0:24,S1P8A,Dig,0,1.0591,1.0037,1.7262,CD659 12cm rods
1/11/2018 0:24,S1P8A,Dig,0.8300001,1.0907,1.0142,2.1863,CD659 12cm rods
1/11/2018 0:24,S1P8B,Bis,0.03,1.0715,1.0097,1.8925,CD659 12cm rods
1/11/2018 0:24,S1P8B,Bis,1.77,1.1111,1.0137,2.5403,CD659 12cm rods
1/11/2018 0:24,S1P8B,Bis,0.28,1.0772,1.0087,1.9855,CD659 12cm rods
1/11/2018 0:25,S1P8B,Bis,1.18,1.1009,1.0254,2.3189,CD659 12cm rods
1/11/2018 0:25,S1P8B,Bis,2.61,1.1337,1.0435,2.8577,CD659 12cm rods
1/11/2018 0:25,S1P8C,DigBis,0,1.0557,1.0058,1.6676,CD659 12cm rods
1/11/2018 0:25,S1P8C,DigBis,2.07,1.1167,1.0101,2.6542,CD659 12cm rods
1/11/2018 0:25,S1P8C,DigBis,0,1.0331,1.0036,1.3579,CD659 12cm rods
1/11/2018 0:25,S1P8C,DigBis,0.9799999,1.093,1.009,2.2436,CD659 12cm rods
1/11/2018 0:26,S1P8C,DigBis,0,1.0568,1.0053,1.6864,CD659 12cm rods
1/11/2018 0:26,S1P8D,Rho,2.23,1.1235,1.0284,2.7159,CD659 12cm rods
1/11/2018 0:26,S1P8D,Rho,2.35,1.1258,1.0273,2.7621,CD659 12cm rods
1/11/2018 0:26,S1P8D,Rho,2.22,1.1224,1.0239,2.7105,CD659 12cm rods
1/11/2018 0:26,S1P8D,Rho,1.51,1.1054,1.0127,2.4435,CD659 12cm rods
1/11/2018 0:26,S1P8D,Rho,2.5,1.1269,1.0172,2.8178,CD659 12cm rods
